key,source,Translation
ST_Mod_Architecture::TobiPack_LargeBrazier.Description,A Big Brazier,
ST_Mod_Architecture::TobiPack_BirdNest_A.Description,A Bird Nest that produces Eggs,
ST_Mod_Architecture::TobiPack_BirdNest_B.Description,A Bird Nest that produces Feathers,
ST_Mod_Architecture::TobiPack_Ceiling_Center.Description,A Decorated Wooden Ceiling,
ST_Mod_Architecture::AradrenPack_ColumnBase_A.Description,A Double Height Column Base,
ST_Mod_Architecture::AradrenPack_ColumnCapital_A.Description,A Double Height Column Capital,
ST_Mod_Architecture::AradrenPack_ColumnShaft_A.Description,A Double Height Column Shaft,
ST_Mod_Architecture::MereakPack_FigureHead_C.Description,A Figure Head,
ST_Mod_Architecture::SeraniPack_GlassCabinet_A.Description,A Glass Cabinet used in Shops,
ST_Mod_Architecture::OlfahrPack_LargeWinch_A.Description,A Large Winch used in the Mines,
ST_Mod_Architecture::MereakPack_CornerTrim_A.Description,A Left Corner Trim,
ST_Mod_Architecture::OlfahrPack_Lift_B.Description,A Lift used in the Mines,
ST_Mod_Architecture::SeraniPack_DwellingCabinet_D.Description,A Locked Dwelling Cabinet,
ST_Mod_Architecture::OlfahrPack_OrnateWoodenCrate_B.Description,A Long Ornate Wooden Crate,
ST_Mod_Architecture::AradrenPack_Ladder_A.Description,A Long Vertical Wooden Ladder,
ST_Mod_Architecture::OlfahrPack_WoodenCrate_B.Description,A Long Wooden Crate,
ST_Mod_Architecture::AradrenPack_MediumGraniteColumnCapital_A.Description,A Medium Granite Column Capital,
ST_Mod_Architecture::AradrenPack_MediumGraniteColumnShaft_A.Description,A Medium Granite Column Shaft,
ST_Mod_Architecture::MereakPack_ShortMemorialStatue_A.Description,A Memorial Statue to honor the fallen,
ST_Mod_Architecture::MereakPack_MessyWorkbench_A.Description,A Messy Workbench,
ST_Mod_Architecture::OlfahrPack_Basin_A.Description,A Metal Basin,
ST_Mod_Architecture::MereakPack_NarrowArchwayPillar_A.Description,A Narrow Archway Pillar,
ST_Mod_Architecture::MereakPack_NotchedArchway_A.Description,A Notched Archway,
ST_Mod_Architecture::MereakPack_Pedestal_A.Description,A Pedestal for Statues,
ST_Mod_Architecture::SeraniPack_WoodPile_A.Description,A Pile of Wood,
ST_Mod_Architecture::MereakPack_CornerTrim_B.Description,A Right Corner Trim,
ST_Mod_Architecture::AradrenPack_RopeBarrier_C.Description,A Rope Barrier Corner,
ST_Mod_Architecture::MereakPack_Sack_A.Description,A Sand Sack,
ST_Mod_Architecture::AradrenPack_Ladder_B.Description,A Short Vertical Wooden Ladder,
ST_Mod_Architecture::AradrenPack_RopeBarrier_A.Description,A Single Segment Rope Barrier,
ST_Mod_Architecture::OlfahrPack_Lift_A.Description,A Tall Lift used in the Mines,
ST_Mod_Architecture::MereakPack_ThickDarkWoodFloor_A.Description,A Thick dark wood Ceiling,
ST_Mod_Architecture::CurvedPack_CurvedBarrier_C.Description,A Thin Curved Barrier,
ST_Mod_Architecture::CurvedPack_CurvedWall_C.Description,A Thin Curved Wall,
ST_Mod_Architecture::MereakPack_ThinWoodCrown_A.Description,A Thin Wood Crown,
ST_Mod_Architecture::AradrenPack_RopeBarrier_B.Description,A Two Segment Rope Barrier,
ST_Mod_Architecture::ZetaPack_WhiteGraniteColumnBase_A.Description,A White Granite Column Base,
ST_Mod_Architecture::ZetaPack_WhiteGraniteColumnCapital_A.Description,A White Granite Column Capital,
ST_Mod_Architecture::ZetaPack_WhiteGraniteColumnShaft_A.Description,A White Granite Column Shaft,
ST_Mod_Architecture::OlfahrPack_Windlass_A.Description,A Windlass used in the Mines,
ST_Mod_Architecture::OlfahrPack_WoodenCrate_A.Description,A Wooden Crate,
ST_Mod_Architecture::TobiPack_Floor_Wood_3x3_A.Description,A beautiful decorated Wooden Floor,
