Context,Source,Translation
"ST_Mod_Architecture,100BuildingsPack_GimlisMap_A.Description",A map showing where the dwarves that answered Gimli’s call.,Une carte indiquant où se trouvaient les nains qui ont répondu à l'appel de Gimli.
"ST_Mod_Architecture,100BuildingsPack_GimlisMap_A.Name",Gimli’s Map,Carte de Gimli
"ST_Mod_Architecture,100BuildingsPack_GraniteBarrier45_A.Description",A granite barrier rotated 45°,Une barrière en granit pivotée à 45°
"ST_Mod_Architecture,100BuildingsPack_GraniteBarrier45_A.Name",Granite barrier 45,Barrière de granit 45°
"ST_Mod_Architecture,100BuildingsPack_GraniteWall45_A.Description",A granite wall rotated 45°,Un mur de granit pivoté de 45°.
"ST_Mod_Architecture,100BuildingsPack_GraniteWall45_A.Name",Granite wall 45,Mur en granit 45°
"ST_Mod_Architecture,100BuildingsPack_GuardStatue_A.Description",A decorative statue,Une statue décorative.
"ST_Mod_Architecture,100BuildingsPack_GuardStatue_A.Name",Guard Statue,Statue de garde
"ST_Mod_Architecture,AradrenPack_ColumnBase_A.Description",A Double Height Column Base,Un socle de colonne à double hauteur.
"ST_Mod_Architecture,AradrenPack_ColumnBase_A.Name",Column Base,Socle de colonne
"ST_Mod_Architecture,AradrenPack_ColumnCapital_A.Description",A Double Height Column Capital,Chapiteau de colonne à double hauteur.
"ST_Mod_Architecture,AradrenPack_ColumnCapital_A.Name",Column Capital,Chapiteau de colonne
"ST_Mod_Architecture,AradrenPack_ColumnShaft_A.Description",A Double Height Column Shaft,Un fût de colonne à double hauteur.
"ST_Mod_Architecture,AradrenPack_ColumnShaft_A.Name",Column Shaft,Fût de colonne
"ST_Mod_Architecture,AradrenPack_DecorativeBarrier_A.Description",A granite decorative barrier,Une barrière décorative en granit.
"ST_Mod_Architecture,AradrenPack_DecorativeBarrier_A.Name",Decorative Barrier,Barrière décorative
"ST_Mod_Architecture,AradrenPack_Ladder_A.Description",A Long Vertical Wooden Ladder,Une longue échelle verticale en bois.
"ST_Mod_Architecture,AradrenPack_Ladder_A.Name",Long Ladder,Échelle longue
"ST_Mod_Architecture,AradrenPack_Ladder_B.Description",A Short Vertical Wooden Ladder,Une petite échelle verticale en bois.
"ST_Mod_Architecture,AradrenPack_Ladder_B.Name",Short Ladder,Petite échelle
