key,source,Translation
Crude_Floor_Stone.Description,Un suelo sencillo compuesto de piedras sin pulir.,
Crude_Floor_Stone_V2.Description,Un suelo sencillo compuesto de piedras sin pulir.,
Fortress_Wall_Tiny.Description,Un bloque de piedra.,
Beorn_Wall_1x1_B.Description,Bloque de madera tallada con adornos.,
Advanced_Column_Wood_B.Description,Una columna de madera con un doble soporte decorativo.,
Fortress_Column_4m.Description,Una columna completa con un piso de altura.,
Elder_Wall_Corner.Description,Pieza para esquina de un muro de piedra con una base decorativa en ambos lados.,
Elder_Wall_Corner_V2.Description,Pieza para esquina de un muro de piedra con una base decorativa en ambos lados.,
Advanced_Column_Wood_A.Description,Una columna de madera con un soporte decorativo.,
Beorn_Floor_3x3_A.Description,Suelo de madera pequeño y decorado.,
Beorn_Floor_3x3_B.Description,Suelo de madera pequeño y decorado.,
Beorn_Floor_1x3_A.Description,Tablón de madera pequeño y decorado para el suelo.,
Beorn_Floor_1x3_B.Description,Tablón de madera pequeño y decorado para el suelo.,
RohanPack.Deco_Banner_A.Description,Un estandarte de tela decorativo como los que se usan en Meduseld.,
Deco_Banner_A.Description,Un estandarte de tela decorativo.,
Deco_Banner_A2.Description,Un estandarte de tela decorativo.,
Deco_Banner_B.Description,Un estandarte de tela decorativo.,
Deco_Banner_B2.Description,Un estandarte de tela decorativo.,
Deco_Banner_C.Description,Un estandarte de tela decorativo.,
Deco_Banner_C2.Description,Un estandarte de tela decorativo.,
Deco_Banner_D.Description,Un estandarte de tela decorativo.,
Deco_Banner_D2.Description,Un estandarte de tela decorativo.,
RohanPack.Deco_Banner_B.Description,"Una bandera de tela decorativa, como las que se usan en Meduseld.",
Deco_Banner_E.Description,Una bandera de tela decorativa.,
Deco_Banner_E2.Description,Una bandera de tela decorativa.,
Deco_Banner_F.Description,Una bandera de tela decorativa.,
Deco_Banner_F2.Description,Una bandera de tela decorativa.,
Deco_Banner_G.Description,Una bandera de tela decorativa.,
Deco_Banner_G2.Description,Una bandera de tela decorativa.,
Deco_Banner_H.Description,Una bandera de tela decorativa.,
Deco_Banner_H2.Description,Una bandera de tela decorativa.,
Elder_Wall_Corner_Crown.Description,Una moldura decorativa para esquinas.,
Advanced_Wall_DoorClosed.Description,Una puerta en un elegante muro de granito.,
Advanced_Column_Wood_B_Crown.Description,Un capitel con dos caras para una columna de madera.,
Crude_Stairs.Description,Un tramo de escaleras de madera sencillas.,
Advanced_Stairs_3mWide_2m_Wood.Description,Un tramo de escaleras de madera pulidas.,
Deco_TrollHide_Chair.Description,Trofeo funcional fabricado con los restos de un trol.,
Deco_TrollHide_Ottoman.Description,Trofeo funcional fabricado con los restos de un trol.,
Deco_TrollHide_Sofa.Description,Trofeo funcional fabricado con los restos de un trol.,
Advanced_Wall_Gold_Plain_B.Description,Un muro de granito chapado en oro y con patrones decorativos.,
Advanced_Wall_B.Description,Un muro de granito con detalles en la moldura.,
Advanced_Wall_C.Description,Un muro de granito con detalles en el ribete.,
Fortress_Column_8m.Description,Una gran columna con dos pisos de altura.,
Scaffolding_Balcony_B.Description,Una gran plataforma de madera construida sobre un muro.,
Elder_Window_B.Description,Una gran abertura para ventana en una piedra con grabados decorativos.,
Elder_Window_B_V2.Description,Una gran abertura para ventana en una piedra con grabados decorativos.,
Elder_Window_E.Description,Una gran abertura para ventana en una piedra con grabados decorativos.,
Advanced_Fence_Stone_1m.Description,Una pequeña barandilla de granito.,
Fortress_Stairs_2m.Description,Un largo tramo de escaleras de piedra cuidadosamente talladas.,
Advanced_Stairs_2m.Description,Un largo tramo de escaleras de madera cuidadosamente elaboradas.,
Advanced_Stairs_Railing_2m.Description,Un largo tramo de barandilla para escaleras.,
Crude_Wall_Short.Description,Un muro bajo de piedra.,
Elder_Slope_1m.Description,Un muro de piedra bajo con una inclinación en uno de sus lados.,
Beorn_Wall_1x3_B.Description,Segmento de muro de madera bajo con adornos tallados. ,
Beorn_Wall_1x3_C.Description,Segmento de muro de madera bajo con adornos. ,
Elder_Slope_Corner_2m.Description,Un bloque de piedra de tamaño mediano con inclinaciones a ambos lados.,
Deco_StatueDurin_lV.Description,Un monumento a Durin el Aliado.,
Deco_StatueDurin_l.Description,Un monumento a Durin el Inmortal.,
Deco_StatueDurin_lll.Description,Un monumento a Durin el Defensor.,
Deco_StatueDurin_Vl.Description,Un monumento a Durin el Perdido.,
Deco_StatueDurin_ll.Description,Un monumento a Durin el Abierto.,
Deco_StatueDurin_V.Description,Un monumento a Durin el Asesino.,
Advanced_Stairs_2mWide_4m_Wood.Description,Un tramo más estrecho de escaleras de madera pulidas.,
Advanced_Stairs_2mWide_4m_Stone.Description,Un tramo alto y estrecho de escaleras de piedra.,
Scaffolding_Platform_1x3x1m_Player.Description,Una estrecha viga de madera para crear estructuras.,
Advanced_Stairs_2mWide_2m_Stone.Description,Un tramo estrecho de escaleras de piedra.,
Scaffolding_Platform_1x3x3.Description,Una plataforma alta y estrecha,
Advanced_Wall_Doorframe.Description,Un arco de granito bien trabajado.,
Advanced_Floor_Gold.Description,Un elegante suelo que alterna baldosas de granito y oro.,
Advanced_Floor_Stone.Description,Un elegante suelo con baldosas de granito.,
Advanced_Floor_Stone_V2.Description,Un elegante suelo con baldosas de granito.,
Fortress_Wall_Thin.Description,"Un pilar de un muro de piedra, ideal para rellenar huecos.",
QuickPlatform.Description,Una plataforma fácil de construir que permite a los enanos llegar a distintos lugares.,
Statue_ElberethsBlessing_Buildable.Description,Un terrario elevado de estilo élfico que se utiliza para cultivar el ingrediente clave del lembas.,
Advanced_Fence_Stone.Description,Un segmento de una balaustrada de granito.,
Elder_Slope_2m.Description,Una sección de un muro de piedra grueso con una inclinación en uno de sus lados.,
Beorn_Roof_Slope1_200x100x100_A.Description,Segmento de techo para una cabaña de madera.,
Beorn_Roof_Slope1_200x100x200_A.Description,Segmento de techo para una cabaña de madera.,
Beorn_Roof_Slope1_200x100x300_A.Description,Segmento de techo para una cabaña de madera.,
Beorn_Roof_Slope1_200x200x100_A.Description,Segmento de techo para una cabaña de madera.,
Beorn_Roof_Slope1_200x200x200_A.Description,Segmento de techo para una cabaña de madera.,
Beorn_Roof_Slope1_200x200x300_A.Description,Segmento de techo para una cabaña de madera.,
Beorn_Roof_Slope1_200x300x100_A.Description,Segmento de techo para una cabaña de madera.,
Beorn_Roof_Slope1_200x300x200_A.Description,Segmento de techo para una cabaña de madera.,
Beorn_Roof_Slope1_300x300x300_A.Description,Segmento de techo para una cabaña de madera.,
Crude_Column_Shaft.Description,El fuste para una columna de piedra.,
Advanced_Wall_Short.Description,Una barrera baja construida con ladrillos de granito.,
Advanced_Stairs_1m.Description,Un pequeño tramo de escaleras de madera bien trabajado.,
Fortress_Stairs_1m.Description,Un tramo corto de escaleras de piedra.,
Advanced_Stairs_Railing_1m.Description,Un pequeño tramo de barandilla para escaleras.,
Advanced_Stairs_Railing_1m_V2.Description,Un pequeño tramo de barandilla para escaleras.,
Elder_Archway_Horizontal_Small.Description,Un pequeño trozo de la parte superior de un arco compuesto de piedra.,
Elder_Archway_Horizontal_Small_V2.Description,Un pequeño trozo de la parte superior de un arco compuesto de piedra.,
Scaffolding_Platform_1x1x1m_Player.Description,Una columna de madera corta con una plataforma encima,
Advanced_Wall_Short_B.Description,Una barrera baja y decorada construida con ladrillos de granito.,
Fortress_Wall_Short.Description,Un muro de piedra bajo y grueso.,
Crude_Column,Una columna sencilla de piedra tallada.,
Crude_Column.Description,Una columna sencilla de piedra tallada.,
Advanced_Column_Wood_C_Short.Description,Una columna de madera sencilla reforzada.,
RopeLadder.Description,Una escalera de cuerdas sencilla.,
Beorn_Wall_1x1_C.Description,Bloque de madera sencillo con secciones talladas.,
Beorn_Wall_1x1_A.Description,Bloque de madera sencillo.,
Crude_Floor_Wood.Description,Un suelo sencillo de madera.,
Crude_Floor_Wood_V2.Description,Un suelo sencillo de madera.,
Beorn_Floor_3x3_C.Description,Suelo de madera pequeño y sencillo.,
Beorn_Floor_1x3_C.Description,Tablón de madera pequeño y sencillo para el suelo.,
Beorn_Wall_4x3_C.Description,Muro de madera sencillo con zócalos tallados.,
Beorn_Wall_4x1_A.Description,Muro de madera sencillo.,
Beorn_Wall_4x3_A.Description,Muro de madera sencillo.,
Beorn_Wall_1x3_A.Description,Segmento de muro de madera bajo y sencillo.,
Advanced_Wall_Window_A.Description,Una única abertura para ventana en un muro de granito.,
Advanced_Wall_Window_D.Description,Una única abertura para ventana en un muro de granito.,
Elder_Wall_Tiny_Crown.Description,"Una pequeña sección de la moldura de un muro de piedra bien trabajada, con elementos decorativos.",
Elder_Wall_Tiny_Base.Description,"Una pequeña sección de la base de un muro de piedra bien trabajada, con elementos decorativos.",
Scaffolding_Beam_Open.Description,Una pequeña viga de madera para crear estructuras.,
Elder_Slope_Thin_1m.Description,Un pequeño bloque de piedra con una inclinación en uno de sus lados.,
Advanced_Fence_Wood_1m.Description,Una pequeña barandilla de madera tallada.,
Advanced_Fence_Wood_1m_V2.Description,Una pequeña barandilla de madera tallada.,
Scaffolding_Stairs_1m.Description,Un tramo corto de escaleras de madera desvencijadas.,
Advanced_Floor_Stone_1m.Description,Un elegante y reducido suelo con baldosas de granito.,
Advanced_Floor_Stone_1m_V2.Description,Un elegante y reducido suelo con baldosas de granito.,
Elder_Wall_Tiny_Mid.Description,"Una pequeña sección de un muro de piedra bien trabajada, adornada con elementos decorativos.",
Elder_Wall_Short_B.Description,Una pequeña sección de un muro con una columna decorativa.,
Elder_Wall_Short_E.Description,Una pequeña sección de muro con elementos gravados.,
Advanced_Fence_Wood.Description,Una pequeña sección de una barandilla de madera.,
Advanced_Fence_Wood_V2.Description,Una pequeña sección de una barandilla de madera.,
Crude_Floor_Stone_Small.Description,"Una pequeña baldosa cuadrada, útil para rellenar huecos.",
Elder_Slope_Corner_1m.Description,Un pequeño bloque de piedra con inclinaciones a ambos lados.,
Elder_Slope_Thin_2m.Description,Un pequeño muro de piedra con un borde inclinado.,
Crude_Wall_Tiny.Description,Un pequeño bloque para construir muros.,
Beorn_Floor_1x1_A.Description,Baldosa de madera pequeña y decorada para el suelo.,
Beorn_Floor_1x1_B.Description,Baldosa de madera pequeña y decorada para el suelo.,
Beorn_Floor_1x1_C.Description,Baldosa de madera pequeña y sencilla para el suelo.,
Deco_StatueLantern_A.Description,Una estatua con una lámpara de cristal iluminada.,
Deco_StatueLantern_B.Description,Una estatua con una lámpara de cristal iluminada.,
Crude_Wall.Description,Un robusto muro de piedra.,
Fortress_DoorClosed.Description,Una puerta resistente en un muro grueso.,
Crude_Stairs_2mWide.Description,Un tramo robusto de escaleras de escaleras de madera rudimentarias. ,
Scaffolding_Platform_1x3x4m_Player.Description,Una plataforma alta y estrecha.,
Advanced_Column_Stone.Description,Una alta columna de granito tallada.,
Crude_Column_Tall.Description,Una columna alta de piedra tallada.,
Crude_Stairs_3mWide_4M.Description,Un tramo alto de escaleras de madera sencillas.,
Advanced_Stairs_3mWide_4m_Wood.Description,Un tramo alto de escaleras de madera pulidas.,
Advanced_Stairs_3mWide_4m_Stone.Description,Un tramo alto de escaleras de piedra.,
Advanced_Column_Wood_C.Description,Una columna de madera sencilla reforzada.,
Elder_Wooden_Post.Description,Un poste alto de madera.,
Advanced_Wall_Thin.Description,"Un muro de granito alto y fino, ideal para rellenar huecos.",
Scaffolding_Platform_1x1x4m_Player.Description,Una columna de madera alta y fina con una plataforma encima.,
Beorn_Wall_4x1_B.Description,Segmento de muro de madera alto con adornos tallados.,
Beorn_Wall_4x1_C.Description,Segmento de muro de madera alto con zócalos tallados.,
Fortress_Archway.Description,Un arco grueso de piedra tallada.,
Fortress_Wall_Sloped_Corner.Description,Una esquina gruesa de piedra con una ligera inclinación a ambos lados.,
Fortress_Wall_Window_A.Description,Un muro de piedra grueso con una única ventana.,
Fortress_Wall_Window_B.Description,Un muro de piedra grueso con una ventana a cada lado.,
Fortress_Wall.Description,Un muro de piedra grueso que ofrece una mayor defensa y apoyo.,
Fortress_Wall_Sloped_Thin.Description,Un pilar de muro grueso con un lado inclinado.,
